Item,Year,Consumption,Pop,Price,Employment
Bovine Meat,2008,12444.0,303486.012,89.51137041666668,1943.79
Bovine Meat,2009,12258.0,306307.567,89.55233749999998,1888.286
Bovine Meat,2010,12072.0,309011.475,90.44045124999998,1978.892
Bovine Meat,2011,11592.0,311584.047,94.02748416666668,2020.801
Bovine Meat,2012,11725.0,314043.885,96.15237083333335,1966.731
Bovine Meat,2013,11587.0,316400.538,97.29531250000001,1895.752
Bovine Meat,2014,11889.0,318673.411,99.36363958333334,1971.265
Bovine Meat,2015,11275.0,320878.31,100.00000541666668,2138.618
Bovine Meat,2016,11630.0,323015.995,99.96811666666667,2165.22
Bovine Meat,2017,12039.0,325084.756,100.94685791666667,2188.215
Bovine Meat,2018,12155.0,327096.265,102.43420875,2132.997
"Meat, Other",2008,283.0,303486.012,89.51137041666668,1943.79
"Meat, Other",2009,281.0,306307.567,89.55233749999998,1888.286
"Meat, Other",2010,279.0,309011.475,90.44045124999998,1978.892
"Meat, Other",2011,280.0,311584.047,94.02748416666668,2020.801
"Meat, Other",2012,286.0,314043.885,96.15237083333335,1966.731
"Meat, Other",2013,290.0,316400.538,97.29531250000001,1895.752
"Meat, Other",2014,287.0,318673.411,99.36363958333334,1971.265
"Meat, Other",2015,291.0,320878.31,100.00000541666668,2138.618
"Meat, Other",2016,292.0,323015.995,99.96811666666667,2165.22
"Meat, Other",2017,290.0,325084.756,100.94685791666667,2188.215
"Meat, Other",2018,291.0,327096.265,102.43420875,2132.997
Mutton & Goat Meat,2008,163.0,303486.012,89.51137041666668,1943.79
Mutton & Goat Meat,2009,153.0,306307.567,89.55233749999998,1888.286
Mutton & Goat Meat,2010,148.0,309011.475,90.44045124999998,1978.892
Mutton & Goat Meat,2011,142.0,311584.047,94.02748416666668,2020.801
Mutton & Goat Meat,2012,146.0,314043.885,96.15237083333335,1966.731
Mutton & Goat Meat,2013,154.0,316400.538,97.29531250000001,1895.752
Mutton & Goat Meat,2014,176.0,318673.411,99.36363958333334,1971.265
Mutton & Goat Meat,2015,180.0,320878.31,100.00000541666668,2138.618
Mutton & Goat Meat,2016,180.0,323015.995,99.96811666666667,2165.22
Mutton & Goat Meat,2017,195.0,325084.756,100.94685791666667,2188.215
Mutton & Goat Meat,2018,202.0,327096.265,102.43420875,2132.997
Pigmeat,2008,8928.0,303486.012,89.51137041666668,1943.79
Pigmeat,2009,9005.0,306307.567,89.55233749999998,1888.286
Pigmeat,2010,8702.0,309011.475,90.44045124999998,1978.892
Pigmeat,2011,8396.0,311584.047,94.02748416666668,2020.801
Pigmeat,2012,8552.0,314043.885,96.15237083333335,1966.731
Pigmeat,2013,8729.0,316400.538,97.29531250000001,1895.752
Pigmeat,2014,8137.0,318673.411,99.36363958333334,1971.265
Pigmeat,2015,8366.0,320878.31,100.00000541666668,2138.618
Pigmeat,2016,8489.0,323015.995,99.96811666666667,2165.22
Pigmeat,2017,8543.0,325084.756,100.94685791666667,2188.215
Pigmeat,2018,8999.0,327096.265,102.43420875,2132.997
Poultry Meat,2008,15844.0,303486.012,89.51137041666668,1943.79
Poultry Meat,2009,15098.0,306307.567,89.55233749999998,1888.286
Poultry Meat,2010,15906.0,309011.475,90.44045124999998,1978.892
Poultry Meat,2011,15639.0,311584.047,94.02748416666668,2020.801
Poultry Meat,2012,15722.0,314043.885,96.15237083333335,1966.731
Poultry Meat,2013,16006.0,316400.538,97.29531250000001,1895.752
Poultry Meat,2014,16298.0,318673.411,99.36363958333334,1971.265
Poultry Meat,2015,17544.0,320878.31,100.00000541666668,2138.618
Poultry Meat,2016,17944.0,323015.995,99.96811666666667,2165.22
Poultry Meat,2017,18139.0,325084.756,100.94685791666667,2188.215
Poultry Meat,2018,18525.0,327096.265,102.43420875,2132.997
